Date,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-05-04,3594487,254896,0.02191387007531409,0.016343895660633878
2020-05-05,3674966,260783,0.022389564908706028,0.02309569393007349
2020-05-06,3764866,267326,0.024462811356622094,0.025089825640475016
2020-05-07,3853887,272618,0.023645197465195222,0.019796054255852402
2020-05-08,3945034,278098,0.023650667494921285,0.020101387289173767
2020-05-09,4029948,282385,0.021524275836406037,0.01541542909334126
2020-05-10,4105178,285979,0.01866773467052174,0.012727304920587157
2020-05-11,4182075,289447,0.01873170907570887,0.012126764552641944
2020-05-12,4266337,294969,0.02014837132284808,0.019077758622476626
2020-05-13,4351181,300046,0.019886849069822743,0.017211978207879453
2020-05-14,4447797,305227,0.022204546305933937,0.017267352339307873
2020-05-15,4544182,310343,0.021670278567119894,0.01676129569140339
2020-05-16,4638407,314519,0.020735305056003517,0.013456079241355612
2020-05-17,4716032,317804,0.016735271398133023,0.010444520044893935
2020-05-18,4804738,321499,0.018809456763652088,0.011626662974663526
2020-05-19,4901982,326219,0.020239188900622596,0.014681227624347093
2020-05-20,5004350,330979,0.020882981618455476,0.014591424779059503
2020-05-21,5111155,335704,0.021342432084086926,0.01427583018862233
2020-05-22,5217147,340899,0.02073738714634943,0.015474942210995435
2020-05-23,5321716,344815,0.020043330195603115,0.011487273356624694
2020-05-24,5416113,347937,0.01773807546287709,0.009054130475762312
2020-05-25,5502584,349138,0.015965508843704068,0.0034517743154651725
2020-05-26,5595775,353258,0.016935861406204733,0.011800491496199106
2020-05-27,5698778,358394,0.01840728049287188,0.014538948870230772
2020-05-28,5818280,363017,0.020969758779864733,0.012899211482335193
2020-05-29,5939205,367604,0.020783633651182187,0.012635771878451996
2020-05-30,6076234,371669,0.023071943130435812,0.01105809512410083
2020-05-31,6182737,374645,0.017527797645712884,0.008007124618948591
2020-06-01,6277895,377722,0.015390918293952893,0.008213108409294234
2020-06-02,6399352,382445,0.019346771489488157,0.012503904988324654
2020-06-03,6517585,387881,0.01847577692241331,0.014213808521486682
2020-06-04,6644498,392997,0.019472396600888286,0.013189612277992424
2020-06-05,6775642,397563,0.019737232218295597,0.011618409300834465
2020-06-06,6910073,401413,0.019840333949166844,0.009683999768590246
2020-06-07,7021918,404157,0.016185791380206815,0.006835852351568139
2020-06-08,7124459,407836,0.01460299023714029,0.009102898131171822
2020-06-09,7249198,412671,0.017508557491874077,0.011855255543895105
2020-06-10,7383896,417730,0.018581089935741923,0.012259160445003303
2020-06-11,7521921,422412,0.01869270639781484,0.011208196682067406
2020-06-12,7650570,426627,0.0171032107356619,0.009978409704269664
2020-06-13,7785988,430818,0.01770038049452527,0.009823569534980203
2020-06-14,7918391,434230,0.01700529207083279,0.007919817649216121
2020-06-15,8037797,437649,0.015079578666928661,0.007873707482209946
2020-06-16,8179594,444367,0.017641276583621135,0.01535020073163662
2020-06-17,8322746,449456,0.017501113135933055,0.011452245553787765
2020-06-18,8462823,454436,0.0168306229698707,0.011080061229575389
2020-06-19,8642394,460586,0.02121880606506843,0.013533258808721138
2020-06-20,8799376,464790,0.018164179971429162,0.009127502789924247
2020-06-21,8927579,468799,0.014569555841232429,0.008625400718604181
2020-06-22,9065705,472358,0.015471831725039964,0.007591739743472159
2020-06-23,9231526,477580,0.018291020941007874,0.011055174253426392
2020-06-24,9402469,482750,0.018517306889456853,0.010825411449390643
2020-06-25,9580660,487444,0.01895151156573882,0.009723459347488417
2020-06-26,9772120,492146,0.019984009452375995,0.009646236285604015
2020-06-27,9949700,496609,0.018172105950397643,0.009068447168116833
2020-06-28,10112650,499752,0.016377378212408367,0.006328922754118338
2020-06-29,10268237,503476,0.015385383653147233,0.007451696041236522
2020-06-30,10442339,508425,0.016955393608464542,0.009829664174657804
2020-07-01,10659743,513353,0.020819473491523244,0.009692678369474406
2020-07-02,10868376,518416,0.019572047843930296,0.009862609159778879
2020-07-03,11070396,523351,0.0185878736620817,0.009519382117835873
2020-07-04,11264111,527719,0.017498470696079904,0.0083462150640774
2020-07-05,11446699,531192,0.016209712422045497,0.0065811539853595225
2020-07-06,11611860,535019,0.014428701235177144,0.007204551273362503
2020-07-07,11823333,541034,0.01821181102769076,0.011242591384605038
2020-07-08,12036407,546307,0.018021483451409193,0.00974615273716628
2020-07-09,12263820,551715,0.018893761236222772,0.009899195873382505
2020-07-10,12496272,557007,0.018954289935762203,0.009591908865990595
2020-07-11,12712555,561795,0.017307801878832407,0.008595942241300447
2020-07-12,12905369,565787,0.015167210682667687,0.007105794818394573
2020-07-13,13097002,569601,0.014849091103090517,0.006741052728323593
2020-07-14,13318762,575190,0.01693211927431948,0.009812131650049682
2020-07-15,13549993,580628,0.017361298294841454,0.009454267285592621
2020-07-16,13802431,586385,0.01863012032552347,0.009915126380401817
2020-07-17,14044353,593044,0.01752749207730142,0.011356020362048858
2020-07-18,14280957,598659,0.01684691348900169,0.009468100174691907
2020-07-19,14494577,602717,0.014958381290553602,0.006778483243382372
2020-07-20,14700789,606895,0.014226838078820858,0.006931943183948741
2020-07-21,14934206,613058,0.015877855263414675,0.010154969146227932
2020-07-22,15215627,619984,0.018844055050532882,0.011297462882794207
2020-07-23,15498161,629879,0.018568672851930534,0.015960089292626822
2020-07-24,15778827,635912,0.01810963249123554,0.009578030066092147
2020-07-25,16033421,641447,0.01613516644805091,0.008704034520499615
2020-07-26,16246759,645118,0.01330583161260468,0.005722998158850245
2020-07-27,16472440,650290,0.013890832011479892,0.00801713794995651
2020-07-28,16724877,656599,0.015324809196451739,0.009701825339463843
2020-07-29,17015093,663171,0.017352354818513716,0.010009153227464651
2020-07-30,17295286,669184,0.016467321101330423,0.009067043040181133
2020-07-31,17586365,675387,0.01682996164388384,0.009269498374139262
2020-08-01,17836944,680873,0.014248481707277216,0.00812275036386545
2020-08-02,18064328,685148,0.012747923635349157,0.006278703958006782
2020-08-03,18265586,689472,0.011141183884614936,0.006311045204831611
2020-08-04,18524097,696389,0.01415289933758479,0.010032314582753221
2020-08-05,18797138,703356,0.014739773820013902,0.01000446589477999
2020-08-06,19081850,709848,0.015146561141382353,0.009230034292733613
2020-08-07,19362898,716145,0.014728550952868735,0.008870913209588549
2020-08-08,19621079,721574,0.01333379951699376,0.007580867003190717
