Date,Country,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-09-21,US,6848493,200015,0.007582513051800355,0.0021343861635660932
2020-09-22,US,6887964,201038,0.005763457741725153,0.005114616403769645
2020-09-23,US,6926550,202139,0.005601945654768237,0.005476576567614133
2020-09-24,US,6972258,203057,0.006598956190311256,0.004541429412433962
2020-09-25,US,7020332,203996,0.006895040315490375,0.004624317309917858
2020-09-26,US,7064631,204742,0.0063101004339964906,0.0036569344496950595
2020-09-27,US,7101911,205024,0.005276991820237997,0.0013773431928965074
2020-09-28,US,7134201,205345,0.004546663567031484,0.0015656703605431144
2020-09-29,US,7176996,206257,0.005998569426344913,0.0044413060946213445
2020-09-30,US,7218190,207190,0.005739727317668919,0.004523482839370319
2020-10-01,US,7263469,208044,0.0062729022095566744,0.004121820551184818
2020-10-02,US,7317870,208968,0.007489671946008247,0.004441368172117377
2020-10-03,US,7366544,209649,0.006651388997071628,0.003258872171815863
2020-10-04,US,7402636,209998,0.004899448099407344,0.0016646871675991548
2020-10-05,US,7441546,210460,0.0052562357516972025,0.002200020952580539
2020-10-06,US,7485492,211165,0.00590549329400103,0.0033498051886344804
2020-10-07,US,7536127,212090,0.006764418424333396,0.004380460777117401
2020-10-08,US,7594454,213064,0.007739651945886772,0.004592390023103299
2020-10-09,US,7650489,214029,0.007378410613850583,0.004529155558893105
2020-10-10,US,7704496,214656,0.00705928732137262,0.002929509552443754
2020-10-11,US,7750330,215078,0.005948993938085012,0.00196593619558727
2020-10-12,US,7791036,215415,0.005252163456265668,0.0015668734133662543
2020-10-13,US,7843905,216212,0.006785875459951685,0.0036998352018198233
2020-10-14,US,7903375,217192,0.007581682848020188,0.004532588385473435
2020-10-15,US,7967731,218025,0.008142850364559528,0.0038353162179085576
2020-10-16,US,8036177,218934,0.008590400454031366,0.004169246646026803
2020-10-17,US,8093047,219681,0.007076748060676152,0.0034119871742168684
2020-10-18,US,8142343,220109,0.0060911545429058744,0.0019482795508032336
2020-10-19,US,8209349,220574,0.008229326620114108,0.002112589671480869
2020-10-20,US,8270452,221510,0.0074430993249281485,0.004243473845512158
2020-10-21,US,8333473,222627,0.007620018833311759,0.005042661730847442
2020-10-22,US,8408798,223500,0.009038848508899022,0.003921357247773205
2020-10-23,US,8489774,224441,0.009629913811700641,0.004210290827740382
2020-10-24,US,8572561,225383,0.009751378540818534,0.004197094113820521
2020-10-25,US,8634322,225761,0.007204498165717332,0.0016771451262960202
2020-10-26,US,8700898,226265,0.007710622791227806,0.0022324493601639794
2020-10-27,US,8776888,227240,0.008733581292413639,0.004309106578569422
2020-10-28,US,8855570,228241,0.008964680875499287,0.00440503432494288
2020-10-29,US,8945782,229214,0.010187034826668384,0.004263037753952981
2020-10-30,US,9044297,230232,0.01101245257262029,0.004441264495187891
2020-10-31,US,9133179,231123,0.009827408365735923,0.0038700093818409
2020-11-01,US,9208738,231531,0.008273023007651537,0.0017652938045975564
2020-11-02,US,9292225,232066,0.009066063123958967,0.0023107056938380666
2020-11-03,US,9416845,233638,0.013411212061696709,0.006773935001249676
2020-11-04,US,9519714,234711,0.010923934714864636,0.004592574837997354
2020-11-05,US,9645899,235870,0.01325512510144744,0.004937987567689595
2020-11-06,US,9771614,237000,0.013032999827180536,0.004790774579217283
2020-11-07,US,9899614,238013,0.013099166626925784,0.004274261603375518
2020-11-08,US,10009510,238487,0.011101038888990944,0.001991487859906771
2020-11-09,US,10130876,239183,0.012125069059324645,0.002918398067819128
2020-11-10,US,10268562,240581,0.01359072996254218,0.005844897003549621
2020-11-11,US,10412106,241969,0.013978977777024726,0.005769366658214814
2020-11-12,US,10573351,243187,0.015486300273931164,0.00503370266439096
2020-11-13,US,10750907,244325,0.01679278404736584,0.0046795264549504
2020-11-14,US,10917616,245591,0.01550650563715239,0.005181622838432487
2020-11-15,US,11050860,246207,0.012204495926583236,0.0025082352366332383
2020-11-16,US,11211211,246965,0.01451027340858535,0.0030787101910181303
2020-11-17,US,11371710,248672,0.01431593785898766,0.006911910594618709
2020-11-18,US,11542094,250520,0.01498314677388013,0.007431476000514747
2020-11-19,US,11730049,252535,0.016284306816423344,0.008043269998403213
2020-11-20,US,11926053,254413,0.016709563617338663,0.0074365929475121995
2020-11-21,US,12104117,255861,0.01493067320764041,0.005691533058452158
