Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-04-27,51.189998626708984,49.060001373291016,35.369998931884766,22.479999542236328,63.099998474121094,89.38999938964844,58.880001068115234,34.040000915527344,58.93000030517578,101.58000183105469,114.3499984741211
2020-04-28,52.13999938964844,48.16999816894531,36.18000030517578,22.719999313354492,64.27999877929688,88.19999694824219,59.209999084472656,34.06999969482422,59.150001525878906,99.52999877929688,114.80000305175781
2020-04-29,53.470001220703125,50.5,38.86000061035156,23.3799991607666,65.51000213623047,91.81999969482422,58.959999084472656,34.15999984741211,58.61000061035156,100.19000244140625,117.33000183105469
2020-04-30,51.880001068115234,50.279998779296875,38.0,22.790000915527344,64.20999908447266,91.41000366210938,58.2599983215332,33.91999816894531,57.2599983215332,99.7300033569336,116.5999984741211
2020-05-01,50.790000915527344,49.58000183105469,35.849998474121094,22.059999465942383,62.27000045776367,88.9000015258789,57.619998931884766,32.880001068115234,55.880001068115234,97.83000183105469,112.23999786376953
2020-05-04,50.970001220703125,49.869998931884766,37.09000015258789,21.860000610351562,61.47999954223633,90.08000183105469,57.59000015258789,32.86000061035156,56.29999923706055,97.77999877929688,112.8499984741211
2020-05-05,51.099998474121094,50.130001068115234,37.119998931884766,21.790000915527344,61.720001220703125,91.31999969482422,57.63999938964844,33.06999969482422,56.7599983215332,99.9000015258789,113.26000213623047
2020-05-06,50.220001220703125,49.9900016784668,36.150001525878906,21.31999969482422,60.869998931884766,92.02999877929688,57.0099983215332,32.459999084472656,54.83000183105469,98.91000366210938,113.23999786376953
2020-05-07,51.25,50.93000030517578,37.09000015258789,21.81999969482422,61.58000183105469,93.41000366210938,56.849998474121094,32.75,55.04999923706055,98.9000015258789,115.0199966430664
2020-05-08,52.47999954223633,51.86000061035156,38.779998779296875,22.290000915527344,63.11000061035156,94.77999877929688,58.119998931884766,33.349998474121094,56.15999984741211,99.41000366210938,117.26000213623047
2020-05-11,51.68000030517578,51.88999938964844,38.099998474121094,21.860000610351562,62.31999969482422,95.41000366210938,58.040000915527344,32.95000076293945,55.91999816894531,101.12000274658203,117.0
2020-05-12,50.88999938964844,50.880001068115234,37.43000030517578,21.290000915527344,60.56999969482422,93.44000244140625,57.54999923706055,31.549999237060547,55.43000030517578,99.58000183105469,114.44000244140625
2020-05-13,49.81999969482422,50.0099983215332,35.72999954223633,20.65999984741211,59.04999923706055,91.83000183105469,57.029998779296875,31.049999237060547,54.959999084472656,98.5,112.47000122070312
2020-05-14,50.43000030517578,50.54999923706055,36.130001068115234,21.190000534057617,59.66999816894531,93.0,56.88999938964844,31.09000015258789,55.54999923706055,99.58000183105469,114.1500015258789
2020-05-15,50.869998931884766,51.25,35.9900016784668,21.049999237060547,59.459999084472656,93.47000122070312,57.38999938964844,30.979999542236328,54.810001373291016,100.41999816894531,115.4800033569336
2020-05-18,53.189998626708984,52.33000183105469,38.93000030517578,22.1299991607666,63.380001068115234,95.76000213623047,58.29999923706055,32.4900016784668,57.060001373291016,101.25,119.8499984741211
2020-05-19,52.68000030517578,52.31999969482422,37.84000015258789,21.59000015258789,62.56999969482422,95.41000366210938,57.22999954223633,31.860000610351562,56.119998931884766,100.02999877929688,119.41999816894531
2020-05-20,53.52000045776367,53.77000045776367,39.349998474121094,22.06999969482422,63.7400016784668,97.5,57.90999984741211,32.15999984741211,56.43000030517578,100.1500015258789,120.9800033569336
2020-05-21,53.0099983215332,53.38999938964844,38.720001220703125,22.0,63.88999938964844,96.13999938964844,57.27000045776367,32.0,55.86000061035156,99.41000366210938,121.41000366210938
2020-05-22,52.93000030517578,53.709999084472656,38.47999954223633,21.920000076293945,63.84000015258789,96.48999786376953,57.470001220703125,32.70000076293945,56.47999954223633,99.62000274658203,121.2300033569336
2020-05-26,54.380001068115234,53.86000061035156,39.54999923706055,23.059999465942383,66.5199966430664,96.38999938964844,57.779998779296875,33.7400016784668,56.849998474121094,99.44000244140625,123.1500015258789
2020-05-27,54.93000030517578,54.2400016784668,40.060001373291016,24.059999465942383,68.73999786376953,96.94000244140625,58.650001525878906,34.459999084472656,57.529998779296875,100.47000122070312,125.26000213623047
2020-05-28,55.439998626708984,53.72999954223633,38.939998626708984,23.68000030517578,68.08999633789062,96.75,59.16999816894531,34.849998474121094,59.22999954223633,101.77999877929688,123.73999786376953
2020-05-29,55.45000076293945,54.02000045776367,38.7599983215332,23.40999984741211,67.66999816894531,97.97000122070312,59.22999954223633,34.650001525878906,59.689998626708984,103.01000213623047,124.19000244140625
