Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
KIM,Kimco Realty,Real Estate,Retail REITs,-0.4147979235567618,468
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,0.28325873122594203,95
KMB,Kimberly-Clark,Consumer Staples,Household Products,0.06407303409650922,248
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,-0.44259408794459887,470
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,-0.02605063882219838,315
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,0.014700664731208235,284
KR,Kroger Co-,Consumer Staples,Food Retail,0.18356687101186253,156
KSU,Kansas City Southern,Industrials,Railroads,0.1975218407860666,144
L,Loews Corp-,Financials,Multi-line Insurance,-0.17043082309828606,393
LB,L Brands Inc-,Consumer Discretionary,Apparel Retail,0.6420577737444546,8
LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,0.07856284270383185,237
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,-0.24267920151760336,420
LEN,Lennar Corp-,Consumer Discretionary,Homebuilding,0.24200418681721203,116
LH,Laboratory Corp- of America Holding,Health Care,Health Care Services,0.15139044394891243,179
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,-0.041435277853452135,318
LIN,Linde plc,Materials,Industrial Gases,0.2035838614719978,138
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,0.013689314713701606,286
LLY,Lilly (Eli) & Co-,Health Care,Pharmaceuticals,0.22943169671634678,121
LMT,Lockheed Martin Corp-,Industrials,Aerospace & Defense,-0.04790878960193368,330
LNC,Lincoln National,Financials,Multi-line Insurance,-0.3434398788958788,449
LNT,Alliant Energy Corp,Utilities,Electric Utilities,0.06089153597713448,252
LOW,Lowe's Cos-,Consumer Discretionary,Home Improvement Retail,0.32090599733783165,75
LRCX,Lam Research,Information Technology,Semiconductor Equipment,0.40731993403460365,41
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,-0.11638958402909338,366
LUV,Southwest Airlines,Industrials,Airlines,-0.2753571033535991,434
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,-0.07262387480295729,345
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,-0.14242405229015276,384
LYB,LyondellBasell,Materials,Specialty Chemicals,-0.22522906376980245,413
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,0.010343867586925626,291
MA,Mastercard Inc-,Information Technology,Data Processing & Outsourced Services,0.17664864716061857,162
MAA,Mid-America Apartments,Real Estate,Residential REITs,-0.044192174122144934,321
MAR,Marriott Int'l-,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.12162750477727968,368
MAS,Masco Corp-,Industrials,Building Products,0.1894913634605473,152
MCD,McDonald's Corp-,Consumer Discretionary,Restaurants,0.09490234442637302,222
MCHP,Microchip Technology,Information Technology,Semiconductors,0.28781421518942807,90
MCK,McKesson Corp-,Health Care,Health Care Distributors,0.21005938698363025,132
MCO,Moody's Corp,Financials,Financial Exchanges & Data,0.22395178652368486,123
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,0.09458708771853708,223
MDT,Medtronic plc,Health Care,Health Care Equipment,0.0039187993097584695,298
MET,MetLife Inc-,Financials,Life & Health Insurance,-0.09644740421208553,358
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,-0.1855339462053962,400
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,-0.13053234982362483,374
MKC,McCormick & Co-,Consumer Staples,Packaged Foods & Meats,0.12836033009079983,197
MKTX,MarketAxess,Financials,Financial Exchanges & Data,0.31649076187750325,76
MLM,Martin Marietta Materials,Materials,Construction Materials,0.014145220658974722,285
MMC,Marsh & McLennan,Financials,Insurance Brokers,0.07141644557123072,242
MMM,3M Company,Industrials,Industrial Conglomerates,-0.012234258589160163,307
MNST,Monster Beverage,Consumer Staples,Soft Drinks,0.35963777560391463,58
MO,Altria Group Inc,Consumer Staples,Tobacco,-0.17348019022028893,394
