Symbol,S&P 500 Log Return,Predicted S&P 500 Log Return,Actual - Predicted,Return Beta,Constant,R2,Return p value
BKNG,0.04197212473111911,-0.058680328722464425,0.10065245345358352,1.3165258850799773,-0.0007120362814862141,0.4,2.764412903538317e-08
BKR,-0.15231023860744175,-0.489587679979404,0.3372774413719622,1.2396584329059548,-0.0029807474633469894,0.17,0.0007064000872423884
BLK,0.1576730247110989,0.2298687645249126,-0.07219573981381375,1.2124116100918063,0.0008544249916511879,0.55,3.532621846624003e-12
BLL,0.20625058248580075,0.48103037346432537,-0.27477979097852473,-0.013371033996866837,0.002562733774109667,0.0,0.9656440002594864
BMY,-0.03232323744491694,0.16894456407926542,-0.2012678015241823,0.928029633957204,0.0006167437423604637,0.2,0.000199436142806678
BR,0.17711328609535484,-0.17752519857276663,0.3546384846681216,1.3563338041862543,-0.0013562818668994624,0.31,1.9981545522094396e-06
BRK-B,-0.007970993500885362,-0.05479337588854905,0.04682238238766375,0.9697930489536412,-0.000586037705282461,0.65,1.7294623185321498e-15
BSX,-0.1246054411489177,-0.18156070759864934,0.05695526644973167,1.2382288232236078,-0.001341871863776949,0.3,2.9470708753817646e-06
BWA,0.07926850369761373,-0.8936111022302555,0.9728796059278693,0.8194023999628287,-0.005002151576054924,0.08,0.028233236263240483
BXP,-0.45839418876780513,0.11732542415996425,-0.5757196129277691,0.20242710210103654,0.0005625823068608506,0.02,0.24009000825829532
C,-0.47249235184189686,-0.15533581116702147,-0.317156540674875,1.5972138231067876,-0.0013114227366759106,0.66,5.176006618715254e-16
CAG,0.18984352297045115,-0.0488091208788443,0.23865264384929524,0.8012950300598249,-0.0005030237351524877,0.03,0.1489923507898822
CAH,-0.032885275155758904,-0.062100282221667365,0.02921500706590855,1.1926881002246352,-0.0006926106548111576,0.14,0.002784863077647703
CAT,0.22684853644171632,-0.4951472199880199,0.7219957564297363,1.6941895628572163,-0.003148387505280557,0.59,2.5286555528494823e-13
CB,-0.09545642248901931,0.05811512419953405,-0.1535715466885533,0.9983476025129331,5.8657139848438756e-06,0.25,3.331433157086366e-05
